Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
296,0,0.01464,-0.128005,-1.807066,263.246643,-507.837189,180.796753
297,0,0.015552,-0.127946,-1.807119,263.247864,-507.865479,180.79364
298,0,0.015338,-0.127848,-1.807027,263.230499,-507.890594,180.788773
299,0,0.015595,-0.12773,-1.807069,263.218475,-507.918884,180.793884
300,0,0.016096,-0.127566,-1.807213,263.205048,-507.93689,180.797318
301,0,0.016259,-0.127579,-1.807033,263.194092,-507.960144,180.796509
302,0,0.01694,-0.127252,-1.807036,263.176239,-507.982544,180.787247
303,0,0.01691,-0.127357,-1.806242,263.166626,-508.009247,180.794281
304,0,0.017645,-0.127125,-1.806361,263.151337,-508.035614,180.792038
305,0,0.018232,-0.127131,-1.806597,263.132263,-508.056458,180.794434
306,0,0.018454,-0.126888,-1.807068,263.098816,-508.078644,180.779205
307,0,0.018905,-0.126607,-1.807041,263.083221,-508.094971,180.781784
308,0,0.019158,-0.126841,-1.80688,263.067627,-508.110931,180.787552
309,0,0.019896,-0.126919,-1.806774,263.048767,-508.117554,180.783859
310,0,0.020035,-0.126799,-1.806854,263.044739,-508.131927,180.784271
311,0,0.020355,-0.126696,-1.806813,263.02005,-508.14743,180.791672
312,0,0.020631,-0.126958,-1.806567,263.01001,-508.157776,180.788177
313,0,0.02066,-0.127026,-1.806818,262.990173,-508.16275,180.788834
314,0,0.021195,-0.126919,-1.806646,262.984528,-508.156311,180.784897
315,0,0.02097,-0.126893,-1.806849,262.96817,-508.150085,180.781982
316,0,0.021264,-0.127218,-1.806732,262.95932,-508.136444,180.785904
317,0,0.02108,-0.127648,-1.806439,262.952271,-508.143311,180.794662
318,0,0.020988,-0.127358,-1.806895,262.956665,-508.134552,180.799805
319,0,0.021226,-0.12752,-1.807033,262.943909,-508.125854,180.789337
320,0,0.021271,-0.127885,-1.806778,262.948395,-508.111603,180.794128
321,0,0.020662,-0.127851,-1.806701,262.947144,-508.09549,180.796234
322,0,0.020524,-0.128157,-1.806968,262.955811,-508.079163,180.798187
323,0,0.020178,-0.128393,-1.80687,262.967682,-508.054443,180.799423
